Topic,References,Tag,Abdullah,Shahd,"Abdullah Status ",Shahd Status,Notes,Due Date
Read about Java Spring Boot Best Practicees,https://chatgpt.com/share/67015827-7cd4-8013-8627-9c23f3f1ed77,"Best Practices, Training Project",Yes,Yes,Done,Done,"Untitled (https://www.notion.so/116980976a918086808ff773f92e66f1?pvs=21) ","October 6, 2024"
Car Rental System - Usecases,https://chatgpt.com/share/67015827-7cd4-8013-8627-9c23f3f1ed77,"System Usecase, Training Project",Yes,Yes,Done,Done,"Untitled (https://www.notion.so/116980976a918086808ff773f92e66f1?pvs=21) ","October 6, 2024"
Design Patterns Usage in Car Rental System Project,https://chatgpt.com/share/67015827-7cd4-8013-8627-9c23f3f1ed77,"Design Patterns, Training Project",Yes,Yes,Done,Done,"Untitled (https://www.notion.so/116980976a918086808ff773f92e66f1?pvs=21) ","October 6, 2024"
Read about Design Principles,https://chatgpt.com/share/67015827-7cd4-8013-8627-9c23f3f1ed77,Design Principles,Yes,Yes,Done,Done,"Untitled (https://www.notion.so/116980976a918086808ff773f92e66f1?pvs=21) ","October 6, 2024"
Git & Github teamwork commands,https://www.notion.so/b2b520aa3c7f4a9eb9dc361452cbdbe0?pvs=21,git & github commands,Yes,Yes,Done,Done,"Untitled (https://www.notion.so/116980976a918086808ff773f92e66f1?pvs=21) ","October 6, 2024"
Setup project environment with Spring Initializer,,"Initialization, Training Project",Yes,Yes,Done,Done,"Untitled (https://www.notion.so/116980976a918086808ff773f92e66f1?pvs=21) ","October 6, 2024"
Read article about NodeJS Vs. Java SpringBoot,https://medium.com/@kotharipujan123/java-spring-boot-vs-node-js-which-you-should-choose-and-why-35d383c3700c,Article,Yes,Yes,Done,Done,"Untitled (https://www.notion.so/116980976a918086808ff773f92e66f1?pvs=21) ","October 6, 2024"
"Meeting with Trainer ",,Trainer Meeting,Yes,Yes,Done,Done,"Untitled (https://www.notion.so/116980976a918086808ff773f92e66f1?pvs=21) ","October 6, 2024"
Continue with Java Spring Boot Course,https://www.youtube.com/watch?v=194UZkgEcic&list=PLzhWJrmO-SPX9CwimKF2-l0e0dcLEiAI2,Training Project,Yes,Yes,Done,Done,"Untitled (https://www.notion.so/119980976a9180a68732d7505b88608f?pvs=21) ","October 8, 2024"
Start with CRUD Operation Project with Java Spring Boot,https://www.youtube.com/watch?v=6zfIxgaVkQI,CRUD Application,Yes,Yes,Done,Done,"Untitled (https://www.notion.so/119980976a9180a68732d7505b88608f?pvs=21) ","October 8, 2024"
Sequence Diagram Task,https://www.youtube.com/watch?v=liwRAnMTVe8,Training Tasks,Yes,Yes,Done,Done,https://drive.google.com/file/d/1WD3rYTp5eImzQwCi_zf-yrKubULiIX73/view,"October 8, 2024"
Meeting with Trainer,,"Trainer Meeting, Training Tasks",Yes,Yes,Done,Done,"Untitled (https://www.notion.so/119980976a9180a68732d7505b88608f?pvs=21) ","October 8, 2024"
Meeting with Trainer,,"Trainer Meeting, Training Tasks",Yes,Yes,Done,Done,"Untitled (https://www.notion.so/11b980976a918007b360e3f522b5358a?pvs=21) ","October 10, 2024"
"Learning about Factory, Builder and Strategy Design Patterns","1. Untitled (https://www.notion.so/11b980976a91807ea4b6d1cc223bda60?pvs=21) 

2.
Untitled (https://www.notion.so/11b980976a91807ea4b6d1cc223bda60?pvs=21) 

3. Untitled (https://www.notion.so/11c980976a918090b2f9d87c0501d16f?pvs=21) ","Design Patterns, Training Tasks",Yes,Yes,Done,Done,"Untitled (https://www.notion.so/11b980976a918007b360e3f522b5358a?pvs=21) ","October 10, 2024"
Object Composition ( Has-a Relationship ),"Untitled (https://www.notion.so/11d980976a91801bacdfef41394ca1e1?pvs=21) ",OOP,Yes,Yes,Done,Done,"Untitled (https://www.notion.so/11b980976a918007b360e3f522b5358a?pvs=21) ","October 10, 2024"
Difference Between Aggregation and Composition in Java,"Untitled (https://www.notion.so/11d980976a9180dfbb9cede5f99f027a?pvs=21) ",OOP,Yes,Yes,Done,Done,"Untitled (https://www.notion.so/11b980976a918007b360e3f522b5358a?pvs=21) ","October 10, 2024"
