Topic,References,Tag,Abdullah,Shahd,"Abdullah Status ",Shahd Status,Notes,Due Date
Finish CRUD Application With Java Spring Boot,"Untitled (https://www.notion.so/11f980976a9180128b08f3a876269547?pvs=21) ",CRUD,Yes,Yes,Done,Done,"Untitled (https://www.notion.so/11e980976a918029aa36e058553d4fec?pvs=21) ","October 12, 2024 → October 17, 2024"
Serialaization Vs. Deserialization,"Untitled (https://www.notion.so/11f980976a9180128b08f3a876269547?pvs=21) ",,Yes,Yes,Done,Done,"Untitled (https://www.notion.so/11f980976a918072a782db45e6357eca?pvs=21) ","October 12, 2024 → October 17, 2024"
@Controller Vs. @RestController annotations,"Untitled (https://www.notion.so/11f980976a9180128b08f3a876269547?pvs=21) ",Annotation,Yes,Yes,Done,Done,"Untitled (https://www.notion.so/11f980976a9180fbae53c2a5b31f27dd?pvs=21) ","October 12, 2024 → October 17, 2024"
Meeting with Trainer,"Untitled (https://www.notion.so/11f980976a9180128b08f3a876269547?pvs=21) ",Trainer Meeting,Yes,Yes,Done,Done,,"October 12, 2024 → October 17, 2024"
Learn about Adapter Design Pattern,"Untitled (https://www.notion.so/11f980976a9180128b08f3a876269547?pvs=21) ",Design Patterns,Yes,Yes,Done,Done,,"October 12, 2024 → October 17, 2024"
Car Rental Project,"Untitled (https://www.notion.so/120980976a9180c6bf3ec8fc860b7123?pvs=21) ",Trainer Meeting,Yes,Yes,Done,Done,"1. Fix bugs about entity layer 
2. Create DTO files","October 12, 2024 → October 17, 2024"
Generics - Builder Design Pattern with different implementations,,"Design Patterns, Generics",Yes,Yes,Done,Done,,"October 12, 2024 → October 17, 2024"
Construct all layers for the project car rental system ( Controller - Service - Repository - DTO - Model ),,"MVC, Training Project",Yes,Yes,Done,Done,,"October 12, 2024 → October 17, 2024"
Make CRUD Operation for Admin Entity,,Training Project,Yes,Yes,Done,Done,,"October 12, 2024 → October 17, 2024"
Meeting with Trainer,,Trainer Meeting,Yes,Yes,Done,Done,"• Meeting with Trainer to Discuss all things we work on Car Rental System Project
• Entity Layer    • DTO Layer    • Repository Layer    • Service Layer    • Controller Layer    • Streams & Collectors    • Annotation","October 12, 2024 → October 17, 2024"
